time_updated,long,placename,placenameformap,state,levelofgovernmentlocalstatenational,typeofaction,linktosourcenewspressreleaseetc.,datesineffect
2020-03-26T03:29:29.113Z,,North Carolina,North Carolina,NC,State,Eviction Moratorium,https://www.charlotteobserver.com/news/coronavirus/article241226521.html,No hearings before April 14
2020-03-26T03:29:29.113Z,,North Dakota,North Dakota,ND,State,Eviction Moratorium,https://www.ndcourts.gov/legal-resources/rules/ndsupctadminorder/25,Thru April 24
2020-03-26T03:29:29.113Z,,Ohio,Ohio,OH,State,Moratorium on Utility Shutoffs,https://www.news5cleveland.com/news/continuing-coverage/coronavirus/watch-live-coronavirus-update-given-by-gov-dewine-ohio-supreme-court-chief-justice,
2020-03-26T03:29:29.113Z,-81.519,Ohio - Akron,Akron,OH,Local,Moratorium on Utility Shutoffs,https://www.news5cleveland.com/news/continuing-coverage/coronavirus/akron-temporarily-ceases-water-service-shutoffs,"No Water Shutoffs ""for 30 days"", article posted Mar 14"
2020-03-26T03:29:29.113Z,-84.512,Ohio - Cincinnati,Cincinnati,OH,Local,Moratorium on Utility Shutoffs,https://twitter.com/cincinnatiwater/status/1238212510056144900?s=21,
2020-03-26T03:29:29.113Z,-81.68129,Ohio - Cleveland,Cleveland,OH,Local,Eviction Moratorium,https://clevelandmunicipalcourt.org/docs/default-source/cleveland-housing-court/housingcadminorder3-17-2020.pdf?sfvrsn=7f2a4e3d_0,Thru April 17
2020-03-26T03:29:29.113Z,-81.68129,Ohio - Cleveland,Cleveland,OH,Local,Moratorium on Utility Shutoffs,https://www.cpp.org/node/104,No electric stuffoffs until further notice
2020-03-26T03:29:29.113Z,-81.68129,Ohio - Cleveland,Cleveland,OH,Local,Moratorium on Utility Shutoffs,http://www.clevelandwater.com/blog/how-were-addressing-covid-19-cleveland-water,No water shutoffs until further notice
2020-03-26T03:29:29.113Z,-82.983333,Ohio - Columbus,Columbus,OH,Local,Moratorium on Utility Shutoffs,https://www.nbc4i.com/news/local-news/columbus-officials-to-provide-update-on-citys-preparedness-for-covid-19/,Duration of public health emergency
2020-03-26T03:29:29.113Z,-84.191667,Ohio - Dayton,Dayton,OH,Local,Eviction Moratorium,https://twitter.com/nanwhaley/status/1238571853364342784,Thru April 30
2020-03-26T03:29:29.113Z,-84.191667,Ohio - Dayton,Dayton,OH,Local,Moratorium on Utility Shutoffs,https://twitter.com/nanwhaley/status/1238571853364342784,No water shutoffs thru April 30
2020-03-26T03:29:29.113Z,-83.068,Ohio - Delaware,Delaware,OH,Local,Moratorium on Utility Shutoffs,https://twitter.com/Delaware_Ohio/status/1239583070451359744?s=20,"Shutoffs ""temporarily suspended for March"""
2020-03-26T03:29:29.113Z,-82.983333,Ohio - Franklin County (Columbus),Franklin County,OH,Local,Eviction Moratorium,http://www.fcmcclerk.com/documents/court/2020-3-17_Administrative%20Order%2005-2020.pdf,No new eviction hearings before May 13; existing cases continued until May 13
2020-03-26T03:29:29.113Z,-97.521389,Oklahoma - Oklahoma City,Oklahoma City,OK,Local,Moratorium on Utility Shutoffs,https://www.foodandwaterwatch.org/news/stopping-water-shutoffs-locally-not-enough-we-need-national-ban-and-service-restoration-plan,No water shutoffs
2020-03-26T03:29:29.113Z,,Oregon,Oregon,OR,State,Eviction Moratorium,https://www.opb.org/news/article/gov-kate-brown-halts-oregon-evictions-as-calls-for-shelter-in-place-action-grow/?fbclid=IwAR0-cx-GQfcPi0cQVd6MCHBo6CABJpCYV5qIKiLBGHLwr916Vl_1N-jyvzk,Updated--now thru June 20 by executive order
2020-03-26T03:29:29.113Z,-122.804489,Oregon - Beaverton,Beaverton,OR,Local,Eviction Moratorium,https://www.beavertonoregon.gov/CivicAlerts.aspx?AID=2108,Thru March 22
2020-03-26T03:29:29.113Z,-122.804489,Oregon - Beaverton,Beaverton,OR,Local,Moratorium on Utility Shutoffs,https://www.beavertonoregon.gov/CivicAlerts.aspx?AID=2108,Thru March 22
2020-03-26T03:29:29.113Z,-122.21,Oregon - Clackamas County,Clackamas County,OR,Local,Eviction Moratorium,https://www.clackamas.us/news/2020-03-19/board-of-county-commissioners-announces-ratifies-countywide-moratorium-on-commercial-and-residential-evictions,
2020-03-26T03:29:29.113Z,-122.681944,Oregon - Multnomah County (Portland),Multnomah County,OR,Local,Eviction Moratorium,https://www.opb.org/news/article/portland-multnomah-county-moratorium-evictions-coronavirus/,Duration of state of emergency
2020-03-26T03:29:29.113Z,-122.681944,Oregon - Portland,Portland,OR,Local,Eviction Moratorium,https://www.opb.org/news/article/portland-multnomah-county-moratorium-evictions-coronavirus/,Duration of state of emergency
2020-03-26T03:29:29.113Z,-122.641111,Oregon - West Linn,West Linn,OR,Local,Eviction Moratorium,https://westlinnoregon.gov/communications/city-response-novel-coronavirus-covid-19,
2020-03-26T03:29:29.113Z,,Pennsylvania,Pennsylvania,PA,State,Eviction Moratorium,http://www.pacourts.us/assets/files/page-1305/file-8634.pdf,Proceedings halted until April 3
2020-03-26T03:29:29.113Z,,Pennsylvania,Pennsylvania,PA,State,Moratorium on Utility Shutoffs,https://www.foodandwaterwatch.org/news/stopping-water-shutoffs-locally-not-enough-we-need-national-ban-and-service-restoration-plan,No water shutoffs
2020-03-26T03:29:29.113Z,-75.1652215,Pennyslvania - Philadelphia,Philadelphia,PA,Local,Eviction Moratorium,https://whyy.org/articles/philadelphia-halts-evictions-as-coronavirus-bears-down/,"Thru March 30 for all tenants, thru April 13 for PHA tenants"
2020-03-26T03:29:29.113Z,,Rhode Island,Rhode Island,RI,State,Eviction Moratorium,https://www.ri.gov/press/view/37970,Thru April 18
2020-03-26T03:29:29.113Z,,South Carolina,South Carolina,SC,State,Eviction Moratorium,https://www.sccourts.org/courtOrders/displayOrder.cfm?orderNo=2020-03-18-01,Thru May 1
2020-03-26T03:29:29.113Z,,Texas,Texas,TX,State,Eviction Moratorium,https://www.txcourts.gov/media/1446203/209045.pdf,"No hearings before April 20, no execution of writs of possession before April 27"
2020-03-26T03:29:29.113Z,-97.7430608,Texas - Austin,Austin,TX,Local,Moratorium on Utility Shutoffs,https://www.kvue.com/article/news/health/coronavirus/coronavirus-austin-utilities-not-disconnecting-for-non-payment/269-96947fa7-1916-4884-a933-904715d90bd4,
2020-03-26T03:29:29.113Z,-98.493889,Texas - Bexar County (San Antonio),Bexar County,TX,Local,Eviction Moratorium,https://www.expressnews.com/news/local/article/Bexar-County-to-halt-evictions-during-coronavirus-15135909.php,"Thru April 16. Courts will still accept filings, but will not hear cases."
2020-03-26T03:29:29.113Z,-97.7430608,Texas - Travis County (Austin),Travis County,TX,Local,Eviction Moratorium,https://www.traviscountytx.gov/images/courts/Docs/temporary-standing-order-covid-19-order-no-1.pdf,Thru April 1
2020-03-26T03:29:29.113Z,,Virginia,Virginia,VA,State,Eviction Moratorium,http://www.courts.state.va.us/2020_0316_scv_order_declaration_of_judicial_emergency.pdf,No hearings thru April 6
2020-03-26T03:29:29.113Z,,Washington,Washington,WA,State,Eviction Moratorium,https://www.columbian.com/news/2020/mar/18/inslee-issues-eviction-ban-for-washington/,Thru April 18
2020-03-26T03:29:29.113Z,-122.1925,Washington - Bellevue,Bellevue,WA,Local,Moratorium on Utility Shutoffs,https://www.propublica.org/article/some-towns-still-havent-halted-utility-shut-offs-for-unpaid-water-bills-during-coronavirus-even-as-federal-lawmakers-demand-it,No water shutoffs
2020-03-26T03:29:29.113Z,-122.247222,Washington - Kenmore,Kenmore,WA,Local,Eviction Moratorium,https://www.bothell-reporter.com/news/kenmore-enacts-emergency-temporary-moratorium-on-residential-tenant-evictions/,Thru April 24
2020-03-26T03:29:29.113Z,-122.459444,Washington - Lakehaven Water & Sewer District ,Lakehaven Water & Sewer District,WA,Local,Moratorium on Utility Shutoffs,https://www.propublica.org/article/some-towns-still-havent-halted-utility-shut-offs-for-unpaid-water-bills-during-coronavirus-even-as-federal-lawmakers-demand-it,No water shutoffs
2020-03-26T03:29:29.113Z,-119.2780771,Washington - Moses Lake,Moses Lake,WA,Local,Moratorium on Utility Shutoffs,https://www.cityofml.com/CivicAlerts.aspx?AID=845,No water shut-offs until further notice
2020-03-26T03:29:29.113Z,-119.8525504,Washington - Quincy,Quincy,WA,Local,Moratorium on Utility Shutoffs,https://www.quincywashington.us/AlertCenter.aspx?AID=All-City-offices-will-be-closed-effectiv-40,No water shut-offs thru March 31
2020-03-26T03:29:29.113Z,-122.123889,Washington - Redmond,Redmond,WA,Local,Moratorium on Utility Shutoffs,https://www.propublica.org/article/some-towns-still-havent-halted-utility-shut-offs-for-unpaid-water-bills-during-coronavirus-even-as-federal-lawmakers-demand-it,No water shut-offs
2020-03-26T03:29:29.113Z,-122.333056,Washington - Seattle,Seattle,WA,Local,Eviction Moratorium,https://durkan.seattle.gov/wp-content/uploads/sites/9/2020/03/Civil-Emergency-Order-Moratorium-on-Residential-Evictions_final_3.14.2020.pdf,Thru April 3 or end of civil emergency (whichever is earlier)
2020-03-26T03:29:29.113Z,-122.333056,Washington - Seattle,Seattle,WA,Local,Moratorium on Utility Shutoffs,https://www.seattletimes.com/seattle-news/health/seattle-will-keep-customers-lights-water-on-during-coronavirus-emergency-defer-taxes-for-small-businesses/,
2020-03-26T03:29:29.113Z,-77.0368707,"Washington, D.C.","Washington, D.C.",DC,Local/Federal District,Eviction Moratorium,https://myemail.constantcontact.com/Chairman-Phil-Mendelson-s-Newsletter-Addressing-Public-Health-Emergency.html?soid=1132587006269&aid=QY-4v6Rdw6Y,Duration of state of emergency
2020-03-26T03:29:29.113Z,-77.0368707,"Washington, D.C.","Washington, D.C.",DC,Local/Federal District,Moratorium on Utility Shutoffs,https://myemail.constantcontact.com/Chairman-Phil-Mendelson-s-Newsletter-Addressing-Public-Health-Emergency.html?soid=1132587006269&aid=QY-4v6Rdw6Y,"No water, utility, gas shutoffs for duration of public health emergency"
2020-03-26T03:29:29.113Z,,Wisconsin,Wisconsin,WI,State,Moratorium on Utility Shutoffs,https://www.foodandwaterwatch.org/news/stopping-water-shutoffs-locally-not-enough-we-need-national-ban-and-service-restoration-plan,No water shutoffs; water service to be restored to households under existing shutoffs
2020-03-26T03:29:29.113Z,-89.4,Wisconsin - Dane County (Madison),Dane County,WI,Local,Eviction Moratorium,https://courts.countyofdane.com/documents/Order-Regarding-Emergency-Temporary-Measures--Revised-.pdf,No hearings before April 17
